date,schedule,etips,cash,deliveries,km,hrs,earnings,net,nethrs,bonus,avg_net/hrs
29/3/21,16.30-22.30,2,7,14,"45,1",6,"65,74","69,92","11,65",,
30/3/21,16.30-22.30,7,4,12,"50,5",6,"65,65","69,03","11,51",,
31/3/21,16.30-22.30,"5,5",7,13,"41,1",6,"64,57","70,88","11,81",,
1/4/21,17.00-23.00,2,2,8,"31,2",6,60,"55,68","9,28",,
2/4/21,18.30-22.30,5,"3,7",9,"40,8",4,"48,17","51,47","12,87",,
3/4/21,,,,,,,,,,,
4/4/21,,,,,,,,,,,
5/4/21,,,,,,,,,,,
6/4/21,,,,,,,,,,,
7/4/21,16.30-22.30,3,"5,5",13,"50,3",6,"64,84","67,68","11,28",,
8/4/21,,,,,,,,,,,
9/4/21,16.30-22.30,8,3,10,"38,8",6,60,"62,87","10,48",160,
10/4/21,18.30-22.31,12,5,11,"37,7",4,"48,24","50,84","12,71",,
11/4/21,16.30-22.30,7,"7,9",13,"49,5",6,"61,33","59,9","9,98",,
12/4/21,18.30-20.30,3,"3,6",5,"16,4",2,"22,16","22,75","11,38",,
13/4/21,19.30-23.30,"3,5","6,5",13,"44,2",4,"53,46","49,85","12,46",,
14/4/21,19.30-23.30,"2,5","8,6",12,"28,4",4,"47,88","46,94","11,74",,
15/4/21,19.30-21.30,2,4,4,"11,4",2,"22,61","22,73","11,37",,
16/4/21,19.30-21.30,1,5,10,"25,6",4,"44,32","39,49","9,87",,
