date,schedule,hrs,etips,cash,deliveries,km,earnings,net,nethrs,tipdel,kmdel,delhrs,day,strhr,more
2021-01-05,18.30-20.30,2,3.0,2.0,6,16.5,24.4,27.72,13.86,0.83,2.75,3.0,Tuesday,18.5,2.1999999999999993
2021-01-07,12.00-14.00 18.30-22.30,4,4.5,7.5,14,38.6,63.2,70.39,17.6,0.86,2.76,3.5,Thursday,12.0,5.800000000000001
2021-01-08,11.30-13.30 18.00-22.00,4,7.0,2.5,11,46.8,60.0,62.42,15.61,0.86,4.25,2.75,Friday,11.5,5.0
2021-01-09,18.00-22.00,4,4.0,10.0,7,35.8,40.0,49.17,12.29,2.0,5.11,1.75,Saturday,18.0,0.0
2021-01-10,17.00-21.00,4,8.0,6.7,12,25.4,47.34,58.56,14.64,1.22,2.12,3.0,Sunday,17.0,1.8350000000000009
2021-01-12,17.30-21.30,4,4.0,2.5,10,29.3,42.06,45.67,11.42,0.65,2.93,2.5,Tuesday,17.5,0.5150000000000006
2021-01-13,17-21,4,3.0,5.0,11,24.5,44.0,49.7,12.43,0.73,2.23,2.75,Wednesday,17.0,1.0
2021-01-14,17-21,4,4.5,13.0,13,31.2,51.3,66.02,16.51,1.35,2.4,3.25,Thursday,17.0,2.8249999999999993
2021-01-15,17-21,4,3.0,4.0,10,31.0,44.39,48.18,12.05,0.7,3.1,2.5,Friday,17.0,1.0975000000000001
2021-01-16,17-21,4,7.0,6.0,12,30.9,47.88,57.51,14.38,1.08,2.58,3.0,Saturday,17.0,1.9700000000000006
2021-01-17,17-21,4,5.0,11.0,11,30.9,45.63,58.46,14.62,1.45,2.81,2.75,Sunday,17.0,1.4075000000000006
2021-01-19,18-22,4,5.5,13.0,10,31.8,43.13,58.13,14.53,1.85,3.18,2.5,Tuesday,18.0,0.7825000000000006
2021-01-20,17.30-21.30,4,5.0,7.2,11,27.3,45.0,54.18,13.55,1.11,2.48,2.75,Wednesday,17.5,1.25
2021-01-21,17-21,4,3.0,4.0,8,39.1,42.07,44.79,11.2,0.88,4.89,2.0,Thursday,17.0,0.5175000000000001
2021-01-22,17-21,4,5.0,2.0,9,30.0,42.16,45.2,11.3,0.78,3.33,2.25,Friday,17.0,0.5399999999999991
